,Unnamed: 0,budget,homepage,imdb_id,popularity,revenue,runtime,status,vote_average,Horror,Foreign,Documentary,Romance,Animation,Adventure,Science Fiction,Mystery,Fantasy,Thriller,Drama,War,Western,Action,Music,History,Family,Comedy,Crime,Unnamed: 28,Tiếng Việt,ภาษาไทย,ਪੰਜਾਬੀ,Slovenčina,Français,Português,广州话 / 廣州話,қазақ,Polski,shqip,עִבְרִית,Română,No Language,日本語,Íslenska,Bosanski,普通话,suomi,?????,Latin,한국어/조선말,Srpski,తెలుగు,ελληνικά,Magyar,Afrikaans,বাংলা,svenska,Dansk,Norsk,தமிழ்,Bahasa indonesia,Pусский,فارسی,български език,English,Český,Український,العربية,Deutsch,Català,हिन्दी,Nederlands,Bamanankan,Esperanto,Español,Italiano,اردو,Somali,Türkçe,pt,hi,te,ar,th,ta,tr,cn,kn,it,is,pl,sv,fa,he,ur,nl,no,fr,ro,zh,en,es,ja,fi,ru,xx,ko,da,ml,de,mr,hu,release_year,Big_six_bool,poster_num_persons,poster_num_objects,poster_anger,poster_anticipation,poster_joy,poster_trust,poster_fear,poster_surprise,poster_sadness,poster_disgust
0,1,220000000,1,tt0848228,89.887648,1519557910.0,143.0,1,7.4,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,1.0,4,0,0.0,0.0,0.0,0.0,0.9327064542954007,0.06729354570459925,0.0,0.0
1,2,0,1,tt1787797,0.21630700000000005,29110.0,103.0,1,7.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,0.0,2,0,0.0,0.010098210042768889,0.0,0.0,0.964418659908126,0.025463329637256456,1.980041184856645e-05,0.0
2,3,55000000,0,tt1308729,8.26008,9489829.0,92.0,1,5.2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2013,0.0,3,0,0.0,0.35015759957427645,0.15434524540505137,0.0,0.49549715502067215,0.0,0.0,0.0
3,4,100000000,1,tt1764651,14.881566000000001,312573423.0,103.0,1,6.1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,0.0,1,0,0.22878582262313402,0.1404166999281552,0.014588488864053645,0.0,0.6162089885846571,0.0,0.0,0.0
4,5,75000000,1,tt1392170,20.031667000000002,691210692.0,142.0,1,6.9,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,0.0,1,0,0.17331477742713214,0.12260619009349824,0.014602975478761982,0.0,0.6894760570006077,0.0,0.0,0.0
5,6,250000000,1,tt1345836,20.58258,1084939099.0,165.0,1,7.6,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,1.0,1,0,0.02262558869701727,0.1793956043956044,0.08869701726844584,0.0,0.7092817896389325,0.0,0.0,0.0
6,7,130000000,1,tt1194173,14.89499,276572938.0,120.0,1,6.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,1.0,1,0,0.0,0.0,0.06665840919881919,0.0,0.5831836667285978,0.35015792407258317,0.0,0.0
7,8,1000000,1,tt1560985,5.747675,101758490.0,83.0,1,4.6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,0.0,1,0,0.0,0.11994084682440846,0.0,0.0,0.8800591531755915,0.0,0.0,0.0
8,9,25000000,1,tt1524137,10.595067,63100000.0,109.0,1,6.1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,1.0,1,0,0.0,0.021640664318067437,0.06637141419224962,0.0,0.7261197785606442,0.07267237040764973,0.11319577252138903,0.0
9,10,70000000,1,tt1496025,12.345348,160112671.0,88.0,1,6.1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,0.0,1,0,0.0,0.0,0.06461437335670464,0.0,0.6023444347063979,0.275920245398773,0.057120946538124454,0.0
10,11,25000000,1,tt1601913,14.31675,77278331.0,117.0,1,6.4,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,0.0,1,0,0.0,0.40396182008368203,0.0,0.0,0.48712081589958156,0.04478294979079498,0.06413441422594142,0.0
11,12,42000000,1,tt1568338,10.528172999999999,46221189.0,102.0,1,6.2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,0.0,0,0,0.0,0.0,0.006265296133137543,0.0,0.5998042094958395,0.13229564366128244,0.2616348507097406,0.0
12,13,58000000,1,tt0485985,7.145835000000001,50365377.0,125.0,1,5.9,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,1.0,0,1,0.029095121286454074,0.11583537748705369,0.12414826928318343,0.0,0.7309212319433087,0.0,0.0,0.0
13,14,40000000,1,tt1598828,6.322435,36893721.0,91.0,1,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,0.0,1,0,0.0,0.08338471023427867,0.0,0.08501409194997357,0.36907697727673067,0.4625242205390171,0.0,0.0
14,15,40000000,1,tt1430615,6.159379,24719215.0,107.0,1,6.6,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,1.0,0,0,0.0,0.03377792126556226,0.025969046994491415,0.0,0.6564700659819609,0.10892068040113803,0.1748622853568474,0.0
15,16,15000000,0,tt1706593,12.47441,145000000.0,84.0,1,6.6,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,1.0,1,0,0.0,0.08185426194169672,0.07812720349739107,0.0,0.832765880290912,0.0,0.0,0.007252654270000202
16,17,17000000,1,tt1596365,8.896678999999997,127730736.0,95.0,1,6.1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,0.0,1,0,0.0,0.0,0.03956197768720925,0.0,0.7112510806471533,0.24918694166563748,0.0,0.0
17,18,85000000,1,tt1599348,8.338675,208076205.0,115.0,1,6.3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,1.0,1,0,0.020175051190428395,0.14981732043200707,0.12528606415867025,0.0,0.6357048219376079,0.06901674228128639,0.0,0.0
18,19,30000000,0,tt1606389,9.524298,196114570.0,104.0,1,7.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,0.0,1,0,0.0,0.5156457725658273,0.17342302121158004,0.0,0.24803063674425066,0.0,0.0,0.06290056947834197
19,20,850000,0,tt1996264,10.378756,1243961.0,85.0,1,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,0.0,1,0,0.0,0.31197807101421565,0.3225813306134591,0.0,0.2376277597161131,0.08797093134442532,0.0,0.03984190731178683
20,21,79000000,1,tt1397514,9.46307,355692760.0,94.0,1,5.8,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,0.0,3,0,0.0,0.15563229340319124,0.07051678971183616,0.0,0.5715884734460586,0.20226244343891403,0.0,0.0
21,22,0,0,tt1838544,9.384244,18100189.0,94.0,1,5.9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,0.0,1,0,0.0,0.14974306871690668,0.06762275063011665,0.0,0.7826341806529767,0.0,0.0,0.0
22,23,12000000,0,tt1636826,9.803023,100000000.0,88.0,1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,0.0,1,0,0.012725021817222414,0.06516753597304811,0.013638300895013496,0.0,0.9084691413147161,0.0,0.0,0.0
23,24,70000000,0,tt1482459,7.6893949999999975,348840316.0,86.0,1,6.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,1.0,0,1,0.07707783963277663,0.7417716573884168,0.16616857114952632,0.0,0.0,0.008145326692059772,0.0,0.006836605137220432
24,25,12000000,1,tt1591479,12.159818,81272766.0,110.0,1,6.3,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,0.0,5,0,0.0,0.1656476361087312,0.03245969312251733,0.0,0.8018926707687514,0.0,0.0,0.0
25,26,65000000,1,tt1596350,12.366641,156974557.0,103.0,1,5.9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,0.0,2,0,0.0,0.13056890437118335,0.25614336977734875,0.0,0.528718024048853,0.08456970180261474,0.0,0.0
26,27,260000000,1,tt0401729,14.670353,284139100.0,132.0,1,6.1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,1.0,0,1,0.0,0.3569461022862914,0.06957579652924432,0.0,0.40471490221283635,0.03789826462216509,0.13086493434946286,0.0
27,28,0,1,tt1456635,8.817924,6483963.0,92.0,1,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,0.0,1,0,0.14688930327174096,0.24538057297847093,0.4061917274114257,0.0,0.0876419732157993,0.0,0.08548058993049669,0.02841583319206645
28,29,42000000,1,tt1232829,11.250764,201585328.0,109.0,1,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,1.0,2,0,0.0,0.019859914730705648,0.03643522143913686,0.0,0.25693900635169237,0.5252545027407988,0.1615113547376664,0.0
29,30,20000000,1,tt1592525,8.772263,32204030.0,95.0,1,5.8,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,0.0,1,0,0.0,0.03386869001172838,0.17369970559371933,0.0,0.6892697288111251,0.03446707676105221,0.06869479882237488,0.0
30,31,0,0,tt1810697,3.554939,525.0,89.0,1,4.7,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,0.0,1,0,0.05592551884657658,0.20534040214650545,0.1587465787375272,0.0,0.5335876381974526,0.0463998620719381,0.0,0.0
31,32,150000000,1,tt1646987,7.739903999999999,301000000.0,99.0,1,5.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012,1.0,0,0,0.0,0.11174451391442931,0.04053777941236566,0.0,0.7324792611662784,0.11523844550692657,0.0,0.0
