movideName,imdb_id,rowid,sentiment,polarity
Othello,tt0114057,1821,0.7250000000000001,0.5750000000000001
Tremors 4: The Legend Begins,tt0334541,10402,0.07490601503759399,0.530388471177945
Hollywood North,tt0337640,1062,0.014583333333333318,0.7590277777777779
Waking Up in Reno,tt0219400,9056,0.06391594516594516,0.6216574224386725
Carriers,tt0806203,5392,-0.009050179211469542,0.5390232974910395
Brokedown Palace,tt0120620,2682,0.1300275482093664,0.5444903581267218
The Haunting,tt0171363,3351,0.10444444444444446,0.53
Hollow Man,tt0164052,399,0.1673160173160173,0.4610389610389611
Snakes on a Plane,tt0417148,10447,-0.2862723214285714,0.6438988095238095
Brain Dead,tt0099173,9850,-0.20702947845804992,0.5703798185941044
Soul Survivors,tt0218619,8056,-0.11986215538847117,0.45877192982456133
Stigmata,tt0145531,6435,0.046296296296296294,0.6217592592592592
China O'Brien,tt0099260,3253,0.1640625,0.49166666666666664
Georgia Rule,tt0791304,5518,0.006325757575757576,0.44272727272727275
Conceiving Ada,tt0118882,8487,-0.14761904761904762,0.5531746031746031
Wild Tigers I Have Known,tt0430768,8013,0.11379310344827585,0.5178160919540231
Tumbleweeds,tt0161023,9248,0.19166666666666665,0.45833333333333337
Stella Dallas,tt0029608,10424,0.37,0.388125
The Little Mermaid II: Return to the Sea,tt0240684,6470,-0.024007936507936516,0.5095238095238095
Hot Rod,tt0787475,11447,-0.17272727272727273,0.643560606060606
Casomai,tt0319147,437,-0.056333333333333326,0.53
A Wake in Providence,tt0192766,12383,0.062333333333333345,0.5036666666666666
7 Dwarves: The Forest Is Not Enough,tt0461642,9699,0.02982456140350878,0.5550944669365723
The Desert Trail,tt0026273,9833,0.32999999999999996,0.67
The Screaming Skull,tt0052169,7106,-0.01721428571428571,0.6494126984126984
Intermission,tt0332658,10972,-0.012820512820512818,0.4897435897435898
The Seventh Sign,tt0096073,7945,-0.00026304713804713934,0.4614688552188551
War Games: The Dead Code,tt0865957,9565,-0.05833333333333331,0.6392857142857142
Rambo: First Blood Part II,tt0089880,12202,0.04925298278956814,0.44479674796747964
"Rita, Sue and Bob Too",tt0091859,5235,-0.015367965367965348,0.5416241496598638
